#  english 75000
Differences between similar pairs of signatures
Sig 1                      Sig 2                      List 1                     List 2                     differences               
NULL-rs                                 1     42
ed-er-ers-ing                           1     84
NULL-d-ly-r-st-t                        1     75
ce-tly                                  1     45
NULL-d-r                                1     49
NULL-ity-ly-s                           1     60
ed-ing-s                                1     35
NULL-ed-er-ing-ly-s                     1     90
NULL-er-ly-s                            1     55
--------------------------------------------------------------

Sorted by Robustness

Signature                          Stem count   Robustness  
--------------------------------------------------------------
NULL-s                                592  25626
NULL-ly                               158   8395
NULL-d                                117   4921
NULL-d-s                               78   4284
NULL-ed-ing-s                          49   4164
NULL-ed-ing                            39   2818
NULL-ed                                61   2682
's-NULL                                45   2102
NULL-al-s                              23   1830
NULL-ed-s                              31   1758
NULL-ing                               33   1698
e-ed-es-ing                            23   1632
e-ed-ing                               33   1614
ies-y                                  49   1604
NULL-ly-s                              19   1130
ed-ion                                 25   1114
NULL-ing-s                             17   1096
ed-ing                                 28   1017
's-NULL-s                              15    950
NULL-al                                17    946
NULL-ed-es-ing                         10    893
e-ed-ion                               13    845
NULL-ity                               14    748
on-ons-ve                              10    713
on-ve                                  18    709
ng-on-ons                              10    665
ce-t                                   23    631
d-r-rs                                 16    590
NULL-ic-s                               9    584
ce-t-tly                               10    583
NULL-ed-ion-s                           6    557
NULL-man                               11    542
e-ed-ing-ion                            6    511
NULL-n                                 14    498
NULL-ion                                9    470
NULL-ed-ion-ive                         4    451
NULL-ary-s                              6    437
d-s                                    27    436
NULL-ed-er-ers-ing                      4    428
ng-on-ons-ve                            5    422
d-r                                    26    401
NULL-ed-er-ing-s                        3    377
NULL-ity-ly                             5    364
NULL-ed-er-ers-ing-s                    3    363
ng-on                                  10    361
NULL-y                                 11    350
NULL-es                                 9    350
NULL-er                                 9    332
NULL-d-r-rs-s                           4    327
e-ion                                   9    308
e-ity                                  10    305
NULL-ed-ing-ion-ive-s                   2    301
ied-y                                  10    297
e-ed-es-ing-ion-or-ors                  2    295
NULL-ed-ion                             4    283
NULL-ity-s                              4    273
e-y                                    15    272
NULL-ed-ive-s                           3    266
e-ed-es-ion                             3    262
NULL-ed-es                              4    246
NULL-ful-s                              4    246
NULL-ism-s                              3    245
cy-t                                   10    231
NULL-ed-ers-ing-s                       2    225
e-ed-er-ers-ing                         2    225
e-ed-er-ers-es-ing                      2    222
al-s                                    8    211
NULL-ful                                5    207
NULL-ed-ful-s                           3    206
NULL-er-ers-s                           2    205
r-st                                   10    204
ion-or                                  4    198
NULL-ed-ing-ly-s                        2    196
's-NULL-al-s                            2    188
NULL-t                                  6    185
NULL-ed-ing-ion                         2    183
NULL-d-r-rs                             2    181
al-e-ed-ing                             3    172
e-es-ing                                4    164
NULL-ary-ed-s                           2    157
NULL-ed-er-ing                          2    157
NULL-er-ers-ing                         2    155
NULL-ism-ly                             2    151
NULL-er-ers                             2    151
's-NULL-ism-ly-s                        1    150
NULL-ary                                2    148
NULL-es-ful-ion-ive-or                  1    147
NULL-ed-ing-ion-ive-or                  1    147
al-e                                    6    146
NULL-ed-er-s                            2    144
NULL-ed-t                               2    137
NULL-d-ly                               2    137
al-e-ed                                 3    134
NULL-ed-er-ers-es-ing-s                 1    132
ed-ion-ive                              2    127
e-ed-es-ing-ion                         1    126
NULL-ed-er-ers-ies-ing-s-y              1    125
NULL-ic                                 3    122
NULL-r-rs-s                             2    121
ed-er-ing                               2    121
ed-ion-or                               2    121
NULL-ed-ion-ly-or-ors                   1    120
NULL-ed-es-ing-ion                      1    119
NULL-er-s                               2    113
's-NULL-n                               2    113
NULL-ion-ive-ly                         1    112
NULL-ed-ing-ion-s                       1    112
NULL-er-ly                              2    109
NULL-ed-ing-ion-ive                     1    108
al-ed                                   4    107
ng-on-ve                                2    106
NULL-ism                                2    106
NULL-d-rs                               2    105
e-ed-es-ing-ion-ive-or                  1    105
NULL-ers                                2     99
d-r-rs-s                                2     99
NULL-ed-ers-ing                         1     98
e-ed-es-ing-ity                         1     98
NULL-r                                  3     97
NULL-al-ing-s                           1     96
NULL-ary-er-ers-s                       1     96
NULL-ed-ies-y                           1     96
NULL-ed-ion-ive-s                       1     96
NULL-ed-ful-ing-s                       1     96
NULL-ed-ing-or-ors-s                    1     95
NULL-s-y                                2     92
NULL-n-s                                2     92
NULL-ed-es-ion                          1     91
al-e-ed-es-ing                          1     91
NULL-ion-ive-s                          1     91
NULL-ed-ing-or                          1     91
e-ing                                   3     90
NULL-ed-er-ing-ly-s                     1     90
NULL-s-t                                2     85
ed-ies-y                                2     85
NULL-er-ers-es-ing                      1     85
ed-ion-or-ors                           1     84
NULL-al-ary-s                           1     84
NULL-ed-ing-y                           1     84
al-e-ed-ing-ors                         1     84
ed-er-ers-ing                           1     84
NULL-ed-er                              1     81
NULL-ies-y                              1     81
NULL-al-ity                             1     80
NULL-ed-er-ing-ly                       1     80
ed-es-ing-ion-ive                       1     80
NULL-er-ers-ing-s                       1     80
NULL-ed-ive                             1     80
NULL-es-man                             1     80
e-ed-er-es-ing                          1     78
's-NULL-ly-s                            1     77
NULL-ly-r-rs                            1     77
NULL-ed-er-ers-s                        1     75
NULL-d-ly-r-st-t                        1     75
NULL-ive-s                              1     72
NULL-al-ism-s                           1     72
NULL-ic-ism-s                           1     72
ed-ing-ion                              1     72
ed-ing-or-ors                           1     72
d-rs                                    3     71
NULL-ed-ful                             1     70
NULL-ion-ly                             1     70
NULL-ed-ing-s-y                         1     70
NULL-ion-or                             1     70
NULL-ies-s-y                            1     66
NULL-d-r-s                              1     63
NULL-ion-s                              1     63
NULL-ed-ly                              1     63
e-ed-ies-y                              1     63
NULL-ic-s-y                             1     60
NULL-e-ity-ly                           1     60
NULL-ity-ly-s                           1     60
NULL-ed-y                               1     56
NULL-ing-s-y                            1     55
NULL-ly-r-st                            1     55
e-ed-ers-ing                            1     55
NULL-d-ful-s                            1     55
NULL-er-ly-s                            1     55
's-NULL-es                              1     54
ed-ing-ors                              1     54
NULL-d-s-y                              1     54
NULL-n-r-rs                             1     50
's-NULL-d-s                             1     50
NULL-er-ing                             1     50
NULL-es-ing                             1     50
ed-or                                   2     49
al-e-ity                                1     49
e-es-ion                                1     49
NULL-d-r                                1     49
NULL-ly-y                               1     48
NULL-r-st                               1     48
ed-ers-ing                              1     45
NULL-man-s                              1     45
's-NULL-ly                              1     45
NULL-ing-n                              1     45
NULL-es-ic                              1     45
ng-ons                                  1     45
NULL-d-n-s                              1     45
ce-tly                                  1     45
NULL-ive                                1     42
NULL-rs                                 1     42
s-y                                     3     40
ed-y                                    2     40
ied-ies-y                               1     40
's-NULL-y                               1     40
NULL-es-s                               1     40
ed-ive                                  1     35
ed-ing-s                                1     35
ed-ors                                  1     30
e-ies-y                                 1     30
r-s                                     1     12
                                        1     -6
--------------------------------------------------------------
*** Stems in each signature

=============================================
NULL-s                         

accelerometer achievement  action       actor        adjustment   adult       
advantage    adventure    affair       afternoon    afterward    agent       
agreement    airplane     allotment    allowance    alternative  ambition    
american     amount       angle        animal       apartment    appearance  
applicant    application  architect    argument     arise        arrangement 
article      aspect       assignment   assistant    association  assumption  
athletic     attitude     attorney     attraction   audience     automobile  
barrel       barrier      bastard      become       begin        beginning   
being        belgian      belief       benefit      beside       blade       
blanket      board        bomber       border       bottle       bottom      
brain        breast       bubble       builder      building     bullet      
button       calculation  calendar     camera       campaign     candidate   
cardinal     career       carrier      chain        chamber      champion    
channel      chapter      character    characteristic cheek        chicken     
choice       choose       cigarette    circumstance citizen      cleaner     
client       clock        cloud        coating      colleague    collection  
college      column       combination  commissioner commitment   committee   
communication communist    companion    complaint    component    composer    
composition  concentration conception   concert      conference   conjugate   
connection   consequence  consideration consumer     contact      contest     
contribution control      conversation conviction   cooperative  corner      
corporation  costume      counter      counterpart  course       cousin      
creature     crime        criticism    crystal      culture      curtain     
curve        customer     dancer       danger       daughter     dealer      
death        decade       decision     decoration   deduction    defense     
degree       delegate     depth        description  designer     detective   
device       diagram      difference   dinner       director     discussion  
disease      dispute      distance     distinction  distribution district    
division     document     dollar       douglas      dozen        drawing     
driver       earning      earthquake   edition      editor       editorial   
effort       election     electronic   employee     employer     engagement  
enterprise   equation     equivalent   error        essay        establishment
evening      event        examination  example      exceed       executive   
expectation  expenditure  expense      expert       explanation  export      
expression   extension    fabric       farmer       favorite     feeling     
fellow       female       fence        fiber        field        fighter     
finding      finger       flame        flight       floor        flower      
fluid        forest       formulation  fraction     fruit        garden      
generation   generator    giant        grade        grain        grave       
ground       group        guerrilla    guest        habit        hazard      
hearing      heart        height       highway      historian    holiday     
horse        hospital     hotel        hundred      illustration image       
implication  impression   improvement  impulse      incident     indian      
indication   indicator    insect       insight      installation instance    
instruction  intellectual intention    interpretation intersection interval    
invasion     investigation invitation   joint        judgment     junior      
knight       language     lawyer       layer        leader       league      
leave        lecture      legend       lesson       letter       limitation  
listener     location     lover        lyric        machine      magazine    
maker        manager      manner       manufacturer marine       marriage    
material     matter       measurement  mechanism    meeting      member      
merchant     merit        message      method       mexican      million     
mineral      minister     minute       miracle      missile      model       
moment       monument     morning      motion       motive       motor       
mountain     mouth        movement     movie        muscle       museum      
musician     native       neighborhood nerve        network      newspaper   
notion       novel        objection    objective    obligation   observation 
observer     occur        occurrence   operator     opinion      opponent    
orbit        organization outcome      owner        painter      painting    
panel        paper        paragraph    parent       particle     partner     
passage      passenger    passion      patent       pattern      payment     
perception   performance  permit       persian      phase        philosopher 
phrase       picture      piece        pilot        pitcher      plastic     
plate        player       pocket       poetic       politician   polynomial  
population   position     possession   pound        prayer       preparation 
pressure     price        priest       principle    problem      procedure   
proceeding   producer     professional professor    profit       projection  
proposal     protein      province     provision    psychologist publication 
publisher    purpose      quack        qualification quarter      queen       
railroad     rating       reader       reading      rebel        recommendation
recording    recruit      refer        reference    reform       regulation  
relation     relationship religion     reporter     representation representative
republican   requirement  reservation  resident     resource     respondent  
response     restaurant   restriction  revenue      revision     rhode       
richard      rider        rifle        right        river        robert      
roger        roman        russian      saloon       sample       sanction    
saving       scene        scholarship  school       science      scientist   
screen       secant       section      sector       segment      selection   
senator      sensation    servant      service      session      setting     
shade        shadow       sheet        shell        shelter      shore       
shoulder     sight        signal       singer       sister       situation   
slave        sleeve       snake        soldier      solution     sometime    
source       southerner   soviet       speaker      specialist   specimen    
spectator    speed        spring       staff        standard     statement   
station      statue       stock        stone        stranger     stream      
street       strike       string       strip        stroke       student     
style        submarine    substance    suburb       suggestion   summer      
sunday       surface      surrounding  system       table        talent      
tappet       target       taxpayer     teacher      technique    temperature 
tension      textile      thank        theater      their        theme       
thing        thousand     threat       ticket       tissue       topic       
tourist      toward       track        trader       trailer      transfer    
traveler     treatment    trend        trial        trick        troop       
truck        tumor        turnpike     undergraduate union        vacation    
variable     vegetable    vehicle      verse        version      vessel      
veteran      victim       village      virtue       visitor      voice       
volume       volunteer    wagon        warning      water        weapon      
weight       white        william      willing      window       worker      
writer       writing      yankee       youngster    
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:      39840 +      50932 =      90772
  Information in words as analyzed:      22105 +       2644 =      24749
Average count of top 5 stems: 1102

-------------------------

High frequency possible affixes 
Number of stems:  592
      tion    weight:   292 count:    73   
       ion    weight:   279 count:    93   
     ation    weight:   205 count:    41   
        on    weight:   198 count:    99   
        er    weight:   168 count:    84   
         e    weight:   140 count:   140   
         n    weight:   129 count:   129   
       ent    weight:   108 count:    36   
         r    weight:   105 count:   105   
         t    weight:    95 count:    95   
      ment    weight:    92 count:    23   
        nt    weight:    92 count:    46   

=============================================
NULL-ly                        

abrupt       absolute     according    accurate     adequate     annual      
anxious      apparent     approximate  awful        beautiful    bitter      
blind        blunt        brief        brilliant    careful      casual      
cautious     certain      chief        common       comparative  conscious   
consistent   continuous   curious      definite     deliberate   desperate   
different    eager        earnest      economical   effective    efficient   
emotional    enormous     entire       essential    eventual     evident     
exact        exceptional  exclusive    experimental extensive    financial   
formal       former       fortunate    frequent     fundamental  furious     
generous     genuine      graceful     gradual      historical   hopeful     
immediate    immense      impatient    important    increasing   independent 
indirect     initial      instant      intense      literal      local       
logical      loose        mental       mutual       natural      normal      
obvious      occasional   original     painful      partial      particular  
peculiar     permanent    physical     pleasant     political    positive    
practical    precise      previous     principal    private      profound    
prominent    prompt       proper       proportionate proud        quick       
quiet        radical      rapid        recent       regular      repeated    
reported     respective   rigid        rough        seeming      serious     
severe       sharp        significant  silent       simultaneous slight      
smooth       solemn       special      spontaneous  stiff        strict      
striking     subsequent   substantial  successful   sudden       sufficient  
superb       supposed     surprising   swift        technical    thorough    
thoughtful   tight        total        traditional  tremendous   typical     
ultimate     unconscious  unexpected   unfortunate  unique       unlike      
unusual      usual        utter        vague        vigorous     violent     
vivid        wonderful    
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:      11610 +      16187 =      27797
  Information in words as analyzed:       6110 +        726 =       6836
Average count of top 5 stems: 357

-------------------------

High frequency possible affixes 
Number of stems:  158
        al    weight:    74 count:    37   
       ous    weight:    48 count:    16   
         l    weight:    46 count:    46   
       ent    weight:    45 count:    15   
        nt    weight:    42 count:    21   
       ate    weight:    33 count:    11   
        us    weight:    32 count:    16   
         t    weight:    31 count:    31   
       cal    weight:    30 count:    10   
         e    weight:    29 count:    29   
        te    weight:    26 count:    13   

=============================================
NULL-d                         

accuse       achieve      acknowledge  acquire      admire       analyze     
announce     anticipate   appreciate   appropriate  approve      arrange     
arrive       assemble     assure       balance      behave       bounce      
capture      cease        challenge    combine      compare      comprise    
concede      conceive     concentrate  conclude     coordinate   curse       
decline      define       demonstrate  devise       devote       discipline  
disclose     discourage   dislike      divide       divorce      dominate    
double       eliminate    emphasize    encourage    endure       enforce     
engage       escape       evaluate     evidence     exaggerate   explore     
expose       finance      formulate    glance       hesitate     ignore      
illustrate   imagine      impose       induce       institute    introduce   
investigate  invite       isolate      locate       oppose       organize    
participate  pause        perceive     persuade     please       praise      
prepare      promote      propose      pursue       puzzle       quote       
realize      reduce       refuse       relieve      remove       replace     
reserve      resolve      restore      resume       retire       reverse     
secure       single       smoke        solve        spare        squeeze     
stare        struggle     substitute   suite        suppose      surge       
surprise     survive      symbolize    telephone    translate    unite       
utilize      waste        welcome      
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       7735 +       9603 =      17338
  Information in words as analyzed:       4250 +        516 =       4766
Average count of top 5 stems: 237

-------------------------

High frequency possible affixes 
Number of stems:  117
         e    weight:   117 count:   117 **
       ate    weight:    54 count:    18   
        te    weight:    54 count:    27   
        se    weight:    34 count:    17   
        re    weight:    28 count:    14   
        ve    weight:    24 count:    12   
        ce    weight:    24 count:    12   

=============================================
NULL-d-s                       

advance      agree        argue        associate    assume       average     
believe      cause        change       charge       circle       constitute  
continue     contribute   couple       create       decide       declare     
decrease     derive       describe     deserve      desire       determine   
discharge    emerge       enable       estimate     exercise     experience  
feature      figure       frame        graduate     guarantee    guide       
house        improve      include      increase     indicate     influence   
involve      issue        judge        measure      notice       operate     
place        practice     preserve     privilege    promise      provide     
purchase     raise        range        recognize    release      require     
resemble     schedule     score        sense        sentence     serve       
shape        share        smile        space        stage        store       
structure    taste        title        trace        trouble      value       

-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       5740 +       7962 =      13702
  Information in words as analyzed:       2650 +        325 =       2975
Average count of top 5 stems: 557

-------------------------

High frequency possible affixes 
Number of stems:  78
         e    weight:    78 count:    78 **
        re    weight:    20 count:    10   
        se    weight:    20 count:    10   

=============================================
NULL-ed-ing-s                  

allow        answer       appeal       appear       attack       attempt     
belong       claim        concern      consider     consist      cover       
demand       depend       develop      dream        enjoy        enter       
exist        expect       explain      extend       grant        happen      
honor        interest     learn        level        limit        maintain    
mount        offer        point        print        proceed      question    
record       remain       remember     represent    request      result      
return       reveal       review       shift        start        survey      
train        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       4660 +       8425 =      13085
  Information in words as analyzed:       1525 +        189 =       1714
Average count of top 5 stems: 519

-------------------------

High frequency possible affixes 
Number of stems:  49
         t    weight:    15 count:    15   

=============================================
NULL-ed-ing                    

accept       adjust       assign       attend       avoid        bless       
borrow       breath       climb        confront     consult      crack       
crawl        cross        defend       destroy      disturb      drift       
entertain    establish    expand       finish       frighten     gather      
guess        laugh        mention      obtain       recommend    regard      
render       scream       search       shout        suffer       threaten    
twist        watch        yield        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       3345 +       5431 =       8776
  Information in words as analyzed:       1245 +        157 =       1402
Average count of top 5 stems: 194

-------------------------

High frequency possible affixes 
Number of stems:  39

=============================================
NULL-ed                        

abandon      absorb       accomplish   afford       alarm        alter       
anchor       arrest       assert       attach       attain       beard       
bother       brush        confirm      convert      convey       crash       
credit       crouch       defeat       delay        deposit      desert      
disappear    distinguish  erect        exert        exploit      flood       
focus        fulfill      furnish      grasp        insert       install     
intend       knock        label        launch       lower        narrow      
neglect      polish       proclaim     register     relax        resent      
resist       respond      retreat      scrap        shock        slump       
stack        suspect      sustain      swallow      trust        wander      
whisper      
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       4020 +       4942 =       8962
  Information in words as analyzed:       1915 +        243 =       2158
Average count of top 5 stems: 84

-------------------------

High frequency possible affixes 
Number of stems:  61
         t    weight:    17 count:    17   

=============================================
's-NULL                        

barco        brown        captain      chicago      child        children    
christ       company      country      eisenhower   enemy        faulkner    
fromm        garibaldi    gavin        georgia      hardy        helva       
hetman       hudson       industry     johnson      kennedy      khrushchev  
latter       malraux      mayor        mercer       o'*banion    palfrey     
party        peter        plato        rayburn      scotty       secretary   
shakespeare  steele       there        today        trevelyan    university  
woman        women        wright       
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       3070 +       3946 =       7016
  Information in words as analyzed:       1525 +        188 =       1713
Average count of top 5 stems: 839

-------------------------

High frequency possible affixes 
Number of stems:  45
         y    weight:    12 count:    12   
         n    weight:    12 count:    12   

=============================================
NULL-al-s                      

accident     addition     classic      congregation convention   denomination
development  dimension    direction    economic     emotion      exception   
experiment   institution  instrument   occasion     operation    person      
proportion   region       season       sentiment    tradition    
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       2055 +       3501 =       5556
  Information in words as analyzed:       1055 +        116 =       1171
Average count of top 5 stems: 329

-------------------------

High frequency possible affixes 
Number of stems:  23
      tion    weight:    44 count:    11   
       ion    weight:    42 count:    14   
        on    weight:    32 count:    16   
         n    weight:    16 count:    16   

=============================================
NULL-ed-s                      

award        block        center       check        compound     crowd       
detail       differ       display      encounter    favor        import      
insist       interview    number       plant        protest      recall      
remark       repair       retain       round        screw        smell       
sound        spirit       sponsor      strain       succeed      wheel       
wound        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       2325 +       3274 =       5599
  Information in words as analyzed:        965 +        119 =       1084
Average count of top 5 stems: 323

-------------------------

High frequency possible affixes 
Number of stems:  31

=============================================
NULL-ing                       

accompany    accord       apply        bloom        broadcast    broaden     
brood        burst        carry        charm        comfort      counsel     
creep        drill        dwell        forecast     multiply     pretend     
satisfy      scratch      shoot        sleep        spray        steer       
strengthen   study        supply       sweep        swing        thrust      
tower        undergo      understand   
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       2350 +       3152 =       5502
  Information in words as analyzed:       1065 +        134 =       1199
Average count of top 5 stems: 193

-------------------------

High frequency possible affixes 
Number of stems:  33

=============================================
e-ed-es-ing                    

assum        averag       believ       chang        charg        coupl       
decid        declar       describ      determin     enabl        handl       
improv       includ       increas      involv       measur       preserv     
promis       provid       purchas      recogniz     requir       
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1960 +       3154 =       5114
  Information in words as analyzed:        735 +         91 =        826
Average count of top 5 stems: 450

-------------------------

High frequency possible affixes 
Number of stems:  23

=============================================
e-ed-ing                       

accus        achiev       acquir       analyz       arrang       assur       
bounc        challeng     combin       compar       conclud      declin      
defin        encourag     endur        engag        financ       glanc       
introduc     invit        oppos        organiz      pleas        prepar      
pursu        puzzl        realiz       reduc        replac       retir       
struggl      surpris      utiliz       
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       2290 +       2964 =       5254
  Information in words as analyzed:       1000 +        126 =       1126
Average count of top 5 stems: 149

-------------------------

High frequency possible affixes 
Number of stems:  33

=============================================
ies-y                          

abilit       activit      agenc        antibod      arter        authorit    
boundar      capabilit    categor      centur       ceremon      communit    
compan       countr       deficienc    deput        energ        entit       
facilit      famil        frequenc     histor       identit      industr     
inventor     laborator    libert       librar       melod        memor       
missionar    necessit     opportunit   personalit   possibilit   probabilit  
propert      qualit       quantit      realit       salar        secretar    
securit      societ       sympath      territor     twent        universit   
variet       
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       2930 +       3268 =       6198
  Information in words as analyzed:       1725 +        210 =       1935
Average count of top 5 stems: 365

-------------------------

High frequency possible affixes 
Number of stems:  49
        it    weight:    36 count:    18   
         t    weight:    24 count:    24   
         r    weight:    15 count:    15   

=============================================
NULL-ly-s                      

active       commercial   constant     current      elder        extreme     
final        frank        friend       general      heaven       ideal       
month        official     plain        relative     scholar      solid       
square       
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1460 +       2116 =       3576
  Information in words as analyzed:        640 +         76 =        716
Average count of top 5 stems: 371

-------------------------

High frequency possible affixes 
Number of stems:  19

=============================================
ed-ion                         

accelerat    accumulat    calculat     celebrat     collaborat   compress    
confus       connect      convict      dedicat      depress      distribut   
frustrat     illuminat    integrat     interrupt    invent       motivat     
nominat      populat      prohibit     revis        segregat     situat      
sophisticat  
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1720 +       2217 =       3937
  Information in words as analyzed:        995 +        118 =       1113
Average count of top 5 stems: 132

-------------------------

High frequency possible affixes 
Number of stems:  25
        at    weight:    30 count:    15   
         t    weight:    21 count:    21   

=============================================
NULL-ing-s                     

account      break        bring        conflict     contrast     drink       
engineer     guard        market       neighbor     program      reason      
spend        sport        spread       stand        think        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1370 +       2084 =       3454
  Information in words as analyzed:        560 +         66 =        626
Average count of top 5 stems: 411

-------------------------

High frequency possible affixes 
Number of stems:  17

=============================================
ed-ing                         

admitt       advertis     compell      convinc      depart       descend     
diminish     dragg        dropp        embarrass    excit        exclud      
frown        haunt        inspir       mutter       occurr       permitt     
preced       referr       snapp        startl       stepp        stirr       
stopp        stumbl       surround     weigh        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1695 +       1900 =       3595
  Information in words as analyzed:        880 +        111 =        991
Average count of top 5 stems: 95

-------------------------

High frequency possible affixes 
Number of stems:  28

=============================================
's-NULL-s                      

brother      court        department   doctor       father       foundation  
governor     husband      island       mother       night        officer     
other        people       president    
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1190 +       1789 =       2979
  Information in words as analyzed:        550 +         63 =        613
Average count of top 5 stems: 819

-------------------------

High frequency possible affixes 
Number of stems:  15

=============================================
NULL-al                        

analytic     civilization constitution continent    education    fiction     
historic     logic        magic        margin       music        occupation  
origin       philosophic  profession   ration       recreation   
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1290 +       1876 =       3166
  Information in words as analyzed:        725 +         82 =        807
Average count of top 5 stems: 193

-------------------------

High frequency possible affixes 
Number of stems:  17
         n    weight:    10 count:    10   

=============================================
NULL-ed-es-ing                 

address      approach     dress        march        match        press       
process      reach        stretch      touch        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:        995 +       1887 =       2882
  Information in words as analyzed:        350 +         42 =        392
Average count of top 5 stems: 242

-------------------------

High frequency possible affixes 
Number of stems:  10

=============================================
e-ed-ion                       

anticipat    appreciat    concentrat   coordinat    demonstrat   dominat     
evaluat      formulat     illustrat    institut     isolat       separat     
translat     
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1055 +       1616 =       2671
  Information in words as analyzed:        565 +         64 =        629
Average count of top 5 stems: 98

-------------------------

High frequency possible affixes 
Number of stems:  13
        at    weight:    24 count:    12 **
         t    weight:    13 count:    13 **

=============================================
NULL-ity                       

absurd       authentic    complex      conform      familiar     major       
minor        mortal       popular      prior        specific     stupid      
superior     valid        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1020 +       1396 =       2416
  Information in words as analyzed:        495 +         61 =        556
Average count of top 5 stems: 146

-------------------------

High frequency possible affixes 
Number of stems:  14

=============================================
on-ons-ve                      

attracti     conclusi     decisi       decorati     distincti    extensi     
impressi     objecti      positi       representati 
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:        845 +       1357 =       2202
  Information in words as analyzed:        430 +         48 =        478
Average count of top 5 stems: 181

-------------------------

High frequency possible affixes 
Number of stems:  10
         i    weight:    10 count:    10 **

=============================================
on-ve                          

administrati aggressi     competiti    compulsi     conservati   constructi  
cooperati    declarati    destructi    detecti      executi      explosi     
imaginati    legislati    producti     protecti     restorati    successi    

-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1230 +       1571 =       2801
  Information in words as analyzed:        800 +         90 =        890
Average count of top 5 stems: 135

-------------------------

High frequency possible affixes 
Number of stems:  18
        ti    weight:    28 count:    14   
         i    weight:    18 count:    18 **

=============================================
ng-on-ons                      

contributi   discussi     expressi     indicati     investigati  locati      
milli        missi        operati      stati        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:        815 +       1267 =       2082
  Information in words as analyzed:        400 +         45 =        445
Average count of top 5 stems: 206

-------------------------

High frequency possible affixes 
Number of stems:  10
         i    weight:    10 count:    10 **

=============================================
ce-t                           

absen        abundan      adolescen    assistan     attendan     competen    
confiden     convenien    corresponden dependen     distan       dominan     
elegan       excellen     ignoran      indifferen   innocen      insisten    
intelligen   persisten    relevan      residen      toleran      
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:       1365 +       1509 =       2874
  Information in words as analyzed:        920 +        108 =       1028
Average count of top 5 stems: 101

-------------------------

High frequency possible affixes 
Number of stems:  23
        en    weight:    28 count:    14   
         n    weight:    23 count:    23 **

=============================================
d-r-rs                         

cleane       compose      consume      counte       designe      listene     
manne        painte       pitche       playe        praye        publishe    
reporte      traile       travele      worke        
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:        980 +       1109 =       2089
  Information in words as analyzed:        520 +         63 =        583
Average count of top 5 stems: 178

-------------------------

High frequency possible affixes 
Number of stems:  16
         e    weight:    16 count:    16 **

=============================================
NULL-ic-s                      

artist       democrat     electron     formula      linguist     organ       
period       photograph   rhythm       
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:        725 +       1105 =       1830
  Information in words as analyzed:        355 +         39 =        394
Average count of top 5 stems: 165

-------------------------

High frequency possible affixes 
Number of stems:  9

=============================================
ce-t-tly                       

differen     impatien     importan     independen   instan       patien      
presen       significan   silen        violen       
-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:        765 +       1108 =       1873
  Information in words as analyzed:        395 +         45 =        440
Average count of top 5 stems: 354

-------------------------

High frequency possible affixes 
Number of stems:  10
         n    weight:    10 count:    10 **

=============================================
NULL-ed-ion-s                  

affect       content      contract     exhibit      project      reject      

-------------------------
                                         Phono      Ordering       Total
Information in words if unanalyzed:        595 +       1122 =       1717
  Information in words as analyzed:        255 +         25 =        280
Average count of top 5 stems: 110

-------------------------

High frequency possible affixes 
Number of stems:  6

=============================================
